Accession,Isolate_ID,Originating_lab,Submitting_lab,Subtype
EPI748176 | 13S2200,EPIISL219300,"Ministry of Health, Singapore",WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI748162 | 13S0239,EPIISL219293,"Ministry of Health, Singapore",WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI644604 | 2013761252_236931_v1_4,EPIISL196056,University of Michigan SPH EPID,Centers for Disease Control and Prevention,H1N1pdm09
EPI591013 | A/Yucatan/145/2012,EPIISL179695,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI591010 | A/Yucatan/109/2012,EPIISL179692,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI591008 | A/Yucatan/103/2012 ,EPIISL179691,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI590997 | A/Yucatan/59/2012,EPIISL179685,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI590990 | A/Yucatan/45/2012,EPIISL179681,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI590988 | A/Yucatan/26/2012 ,EPIISL179680,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI590986 | A/Yucatan/25/2012 ,EPIISL179679,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI590984 | A/Yucatan/24/2012 ,EPIISL179678,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI590982 | A/Yucatan/18/2012,EPIISL179677,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
